,id,no_qr,nom_arrond,nom_qr,occurrences
0,25,"""30""","""Ville-Marie""","""Sainte-Marie""",2076
1,19,"""28""","""Mercier–Hochelaga-Maisonneuve""","""Maisonneuve""",1385
2,46,"""13""","""Villeray–Saint-Michel–Parc-Extension""","""Crémazie""",1363
3,14,"""11""","""Villeray–Saint-Michel–Parc-Extension""","""Parc-Extension""",1359
4,8,"""18""","""Rosemont–La Petite-Patrie""","""Vieux-Rosemont""",1095
5,6,"""31""","""Le Plateau-Mont-Royal""","""Lorimier""",1031
6,11,"""61""","""Montréal-Nord""","""Est""",1022
7,61,"""27""","""Mercier–Hochelaga-Maisonneuve""","""Hochelaga""",939
8,90,"""01""","""Ahuntsic-Cartierville""","""Cartierville""",900
9,21,"""15""","""Rosemont–La Petite-Patrie""","""Père-Marquette""",897
10,16,"""29""","""Mercier–Hochelaga-Maisonneuve""","""Préfontaine""",844
11,12,"""32""","""Le Plateau-Mont-Royal""","""Parc-Lafontaine""",837
12,88,"""39""","""Ville-Marie""","""Montagne""",836
13,108,"""42""","""Côte-des-Neiges–Notre-Dame-de-Grâce""","""Parc-Kent""",793
14,82,"""16""","""Rosemont–La Petite-Patrie""","""Louis-Hébert""",761
15,4,"""33""","""Le Plateau-Mont-Royal""","""Parc-Laurier""",760
16,94,"""04""","""Ahuntsic-Cartierville""","""Sault-au-Récollet""",756
17,118,"""38""","""Ville-Marie""","""René-Lévesque""",719
18,100,"""64""","""Verdun""","""Verdun-Centre""",719
19,9,"""34""","""Le Plateau-Mont-Royal""","""Mile End""",701
20,3,"""20""","""Rosemont–La Petite-Patrie""","""Marie-Victorin""",679
21,18,"""09""","""Villeray–Saint-Michel–Parc-Extension""","""Gabriel-Sagard""",663
22,123,"""47""","""Le Sud-Ouest""","""Pointe-Saint-Charles""",662
23,49,"""14""","""Rosemont–La Petite-Patrie""","""Saint-Édouard""",584
24,2,"""44""","""Côte-des-Neiges–Notre-Dame-de-Grâce""","""Upper Lachine""",584
25,92,"""56""","""Saint-Laurent""","""Grenet""",583
26,66,"""26""","""Mercier–Hochelaga-Maisonneuve""","""Longue-Pointe""",566
27,13,"""17""","""Rosemont–La Petite-Patrie""","""Étienne Desmarteaux""",565
28,29,"""63""","""Saint-Léonard""","""Grande-Prairie""",554
29,142,"""62""","""Saint-Léonard""","""Port-Maurice""",549
30,59,"""35""","""Le Plateau-Mont-Royal""","""Saint-Louis""",540
31,62,"""43""","""Côte-des-Neiges–Notre-Dame-de-Grâce""","""Savane""",524
32,35,"""07""","""Villeray–Saint-Michel–Parc-Extension""","""Sainte-Lucie""",510
33,137,"""45""","""Côte-des-Neiges–Notre-Dame-de-Grâce""","""Loyola""",508
34,23,"""60C""","""Montréal-Nord""","""Centre""",500
35,33,"""50""","""Le Sud-Ouest""","""Saint-Henri""",498
36,238,"""51""","""Le Sud-Ouest""","""Petite-Bourgogne""",483
